,Sentences,Labels
0, ab achanak khawaja saad rafique ko khiyaal aagaya woh bhe peshawar mai is line pai 10 saal sai koi train nahe guzri,neg
1," adha drama to censor hi hojaye gaa , khaas tor per basant singh ( babrik shah ) wala part . dramon kay naam change kernay ki koi tuk nahin banti . iss bewaqoofi ki waja samajh main nahin aaye . mushkil hindi naamon wali indian movies bhi to pakistan main release hoti hain , jesay katha , sangharsh , abodh , gaman , andolan , kartavya , avtaar , satyamev jayate , nishaant , aakrosh , akarshan , etc . in mushkil hindi names ko to koi urdu main convert nahin kerta !!! ",neg
2," bekaar fuzool end !!!!! moti budhi laila jeet gayee . laila doosri larkiyon ko meesni keh rahi hai , jabkay laila khud sub se bari meesni hai . aliya aur aleena main se koi aik desi kuri ka title win kerti to theek hota . ",neg
3, choor kasuri choor jhootay ka moo kaala,neg
4, gali gali mein shor hai gaaanjaaaa shair chor hai ,neg
5, hum kia aur hamari logic kia bhonkoon k muted bhonk se andaza laganay k koshish kar rahey k in k jhoot mein kitna dam ha . waisey yeah offshore companies ka paisa kehan se aaaaya,neg
6, imran khan altaf hussain chachoo haroon ab sadmey sey nikal aao future main jo bhi ho magar ik sahab ney apney aap key saath buhut hi bura kar dala hai is ka ab aney wala waqt hi batayey ga jo agar thori buhut umeed thi woh bhi mutti main mil gai,neg
7, lagta ha sab bhonkay hath xaray kar rahay hein k panama se koi tufaan aanay k imkaan nahein tumhari galian beta rehi hein ke tum kitney frustrated hoooo ,neg
8, merey bahi tum saye kaha rahey hoo but main tum ku ak cheez clear kardoon mqm kabhi start nahi kartey but haan end zaroor kartey ha its true yar main buhat pashtoons ku janta hoon ju kabhi in cheezoon ku favour nahi kartey but anp ju ha sirf pashtoons ka naam use karkey karachi main drag weapon qabsa or killing kar rahi ha or urdu speaking or pashtoon ku lara rahi ha as a pakistani ham sab ku ak dosra ku accept karna chaye jahan tak mqm key qabsey ki baat ha is sey koi farq nahi pharta ha merey bahi still karachi main sab lug abaad haan or jee rahay haan in sab ka haal sirf ak hi ha ak dafa bagr kasey farq key pura karachi operation kar dye jaye jab tak weapon rahey ga yeh masla chalta rahey ga allaha ham sab key diloon main dusrey key liye mohabaat pada karey,neg
9, nawaz khanzaaney ka moun khul chukaa hai sab kha rahy han,neg
10, pakistan mai samsung ke jo models new available hain sab cheap models hain note4 b 1 . 9octacore processor wala hai aur sirf 3g support hai . ,neg
11, sharifoon ko tau pehley b baray galeez galain detey rahey hein yeh zra late hau gia ha tu phlay apnay baap ki haram ki kamai ka answer do sponsored links,neg
12, tu phlay apnay baap ki haram ki kamai ka answer do haram p tau pala hua tu lagta ha baat b seedhi nahein nikalti terey munh se,neg
13, tumhari tarhan har koi rooti ko chochi nahin kehta phuddu unko banao jo ban jayen aur yeh pm ho ga tum logon ka sari duniya janti hai kiss tarhan yeh pm bana hai merit per lay kar ao to iski pori family say ek banda bhi 16 grade per bhi naukari hasil na kar sakhe india rooz proxy war say humare logon ko mar raha hay or yeh chaprasi insan k monh main zuban tak nahin jo bol sakhe k bharat shamil hai is sab main apnay log sambhale nahin ja rahe aur yeh arbi pitho chala hay saudia arab ki hifazat karne,neg
14, waisey yeah offshore companies ka paisa kehan se aaaaya aaap k ijazat k shukria you tell me waisey yeah offshore companies ka paisa aaaaya kehan se ,neg
15, yarr tumhari logic hamesha hi bohat nirali hoti hay pakistan qoom ka almiya hai k jis ki oqat chiprasi ki nahin woh pm ban gaya hai aman sab chahte hain per nechay lag kar nahin ankhon main ankhain dal kar baat karo yeh chaprasi bharat say aisa darta hay jaisay isk ghar ka rashan wahan say ata hai mulk ka pm bana hay karobar ko chor kar pakistani qoom ka soche,neg
16, aaap k ijazat k shukria you tell me waisey yeah offshore companies ka paisa kehan se aaaaya jutt riskyy kee pee kay nooray kay haraam pasay kee whisky sooo jaaa neened ayee hai tujay,neg
17, bongayyy tren actorz ko apas main milwayee gi :d :d,neg
18, bozdil ha amrica,neg
19, iphone 6 kisi kaam ka nhi hai apne pese zaia nhi karo ,neg
20, moral values tou khatam hi ho gaey hain hum main,neg
21, patwari ka koi biyan nai aaya aik dalal ka biyan jo us nae kashif abbasi k program mae diya ha k ppp nae bi is k badley boht kuch diya ha,neg
22, ullo kay patha leader imran,neg
23, yeh train to shahbaz shareef khud chala k laya tha,neg
24," "" aap , jinab "" kay baad jab achanak "" tu "" "" tu "" ker kay baten shroo ker detay ha , to bohot bura , cheap , & amp ; annoying lagta hai . hsy kuchh adaab , tameez , aur mannerism bhi seekh lo ! ",neg
25," "" aj to main bhee kahta hoon ya drama ha .... sorry waqas sahab ... bilal lishari ki apni soch ha kahan 16 crore ke waar or kahan 50crore ke yalghaar .. pesa hi zaya keya ha ... dil torney kelia thanks "" ",neg
26, # sahil _ jaan bhai 1 fault hai es men ye cloud downloading ni krta,neg
27, ( s i a s a s a t ) wo bhi pakistani jhoti siasat musalman ko munafiq bana deti hay . ,neg
28, ( hgj ) pic clear nhi nazer a rhi bari pic post kro phir. Maza nahi aaya,neg
29," , ye pti k khilaaf ya pak oar awam k sath zulm ki ibtada he . whts mean ek ? ",neg
30, . resign do bhai topi drama nai chalega,neg
31, ... itna zulam tou saas bahu k saat bhi nhi karti jitna brazil k saat ho rha hai . ........... khikhikhi,neg
32, .... aur bohot si bewaqoof larkiyun ki bhi shaadi nahin honi chahiye jo apni ahmaqana herkaton say apna gher khud tabah kerti hain . jin ki sirf achi shakal honay ki waja say shaadi to hojati hai magar dimagh naam ki koi cheez nahin payee jaati un main . ,neg
33, .. in k han koi kutta b marry to ilzam pakistan py he lagaty hai in sy kia takra .. ,neg
34, .. jahangir tareen ke fateh se p . t . i khush fehmi ka shikar ho jye ge,neg
35, .. sir kpk me road net work bahut bura he ... ,neg
36, .. ﻿kuch loog ghatiya b to hotay han na,neg
37, . iss tarah tau dr . aasim ki tarah imran khan ko bhi gariftaar karna banta hy . ,neg
38, . sh . rasheed sahib pamist hain wo he ik ka haath deykh kr jawab dy sekty hain . ,neg
39," . afridi look shahrukh sad hain . na rulao shahrukh ko ye to khud dunia mai khushain bant , ty hain . go lala go . ",neg
40, . in zar paraston ne tu zinda awam k sath sath lashon k bhi saudy kiy in jahilon ko ab jo bhi vote dega woh bhi ahmaq hoga,neg
41, . plz achy bating krna .... agar app jldy out ho jao to dill toot jta hh ... Mujhay pata ha achi karo gy to nahi,neg
42, // paisa he khuda hy jang group ka . paisa do jooooooooo marzi kerwa lo in say,neg
43, /// land mafia ki govt sarprasti karti hay . warna land mafia mai kiya himmat,neg
44,1 originally posted by insafseeker kabhi research ker kay dekhna jaati umrah kaisay bana tha aur afzal khokhar malik shafi khokhar aur rauwind k mpa mna kaisay kaisay qabza ker k zameen dilwatay thay tao islamabad ki kachi abadian mamoli baat laga gee,neg
45,1 bat tu btao reham khan ko b nhe pta k ik cocain peta tha tu phir hw u knw dis ... tmhara chachu ha,neg
46,1 ganta agay karlo ya dus hourz kohi faraq nahi pharta log ossi time se khul rahe hai shop aur light utni hi ja rahi hai jitni pehle jati thi jab gov hi public k saath nahi to agay kiya ho sakta hai govt main govt k bari seat walo ko itna aram diya jata hai aur unke bill govt barti hai to unke gharo main dus dus to ac hote hai unko to kohi nahi dekta aur common people k pechey govt pari hai its not fair with us .......... ,neg
47,1 ghanta agay karnay say kuch nai hua bal kay insan ko pareshaniyan uthani pari . ,neg
48,1 hi recipe bar bar .. toba,neg
49,1 niwala lene ke baad hi pani mangna parta hai . mujhe laga ke gosht pe masala bohot ziada lag jata hai jise ki waja se aisa bura hota hai . baki sabzi waghera ke sath ye shikayat nahi aai . ,neg
50,"1 to ap ko hr waqt bhook lg jati hai, bury sy bura khana bhee khaa jaty ho.",neg
51,"10 lakh choren , 5 din show ni chalay ga to kitny hi lakh jaeyn gy",neg
52,10 min me windows ye kesy mumkin hai zaror ye jugar hoga or jugar me nuksan he hota hai no way !!!!!!!!!! i will never try that,neg
53,10 saal guzarnay kay baad drama boring hogya hai . dono larkiyan bari ho ker kuch zyada overacting ker rahi hain kyunkay script kaafi kamzor hai . jab aik chhoti si kahani ko zabardasti khench taan ker lamba kya jata hai to ye hashar hota hai . ,neg
54,100 % truewo kapil idiot intehai bongayyyyyyyyyyyyy treen jokes krta aur stupid usi jaisayyy indianz ko hansi b ajati hai lolz,neg
55,12000 qeemat hojai sub qmobile ki tareef karenge wo isliye ke is mobile ki asal jaga wo hi he .  ,neg
56,150 bacho ko uae le ja k ehsan nahi ker rehe tumye kisi ka project tha tune bas apna nam show kia,neg
57,150 bundy mulby taly daby hue heen ye bc reham pe program kar raha hee,neg
58,15000 me is jese 15 set ajaygay is me he kya nokia walo ka dimakh kharab hogay ha ,neg
59,17 crore awam ko 20 crore main baech dia . aglay raymond ka shikar hum ya humare piyarey bahi ho saktey hain in begairt hukrano say bacha,neg
60,1o a yeh pakistani cloth rakhi nay pehnay huway hain gud yar aur american prostitute jaisa libaas veena nay thats too gud 2who was that sala zobi dobi 3i love that zubi dubi q kay uss ki waja say veena ki thukaee hoee,neg
61,1st of all jo hova bohat galat hova mager xulqarnain haider ko aisa nahe krna chahiye tha bcox jaise unhun nai kiya hai aisay buxdil log krtay hain n jahan tk rahe pcb ki baat to i m sure ye sb pcb nay he kiya hai adnan akmal ko in krnay k liye ................ ,neg
62,2 gont pani ho to dub kar mar jayo,neg
63,2 din ma 17k price kam ho gy ha ya kya standard ha iphone ka . ,neg
64,2 do takky k log siasat kr rhy hy,neg
65,2 front camra kis kam ki jb save ki memory na ho . aur battry 2gante chale,neg
66,2 kannnjjjjar tv per,neg
67,2 saal main tw hamid mir ka goli lagne wala drama b complete nhi hua school kaisy theek hongay,neg
68,"2 se gum hain khan g no tweet 😬, hum afsurda hain",neg
69,2 takay ki naqli moochen aur 4 aanay ka bekaar hairband laga ker qasai hi lagay gaa ;) ,neg
70,20 sal say nahusat phelai hui hai tum nay .. ab jan chor do .. laalchi admi .. ,neg
71,"2005 imran khan k liay zilat bhara saal raha , specially karachi sy jo zilat in ko mili hy woh yaad rakhny wali hy",neg
72,2014 bura raha aur inshallah 2015 b bura rahay ga imran khan kay liya,neg
73,2015 imran khan k lia bura sal raha . ,neg
74,300 se zidha bike 10 cars 100 school adopt har village k wadere ko 15 lac . mir sab shaft karin dalali nai . allah ne new life di,neg
75,35 punctures wala jhoota insan mein kabi b apni qom se jhoot nahein bologna sirf pm banene k laye jhoot bologna,neg
76,3rd class darama junaid nay apni ayashi karnay kay bad realize kia kay wo us say muhabat nahe karta aur ayesha b waisi hi nikli kay us kay janay ka wait karti rahi . ,neg
77,4 5 month drama deikho time nikaal k dilchaspi sy sari episode deikhi or ghatia end kia is dramy ka writer pagal ho gya tha end py jo end fazool kia﻿,neg
78,"4 din reh gye baaki bhoot k aanay main phir pkaaou aaye ga or aa kr dimagh ka d , hi kray ga ........ ",neg
79,4 dn pehly kuch lifafio ko kehty suna tha 2 nov ko imran khan ki siasat khatm ho jayegi kia hua un lifafio ka aj,neg
80,4g bass likha howa hai chalta nai hai,neg
81,"5 din pehle 1 dost ko dilwaya hai ye set , is ka display bohat hi ghatya hai ",neg
82,5 match khelnay walay ko analyst banaya hua ap logon ne,neg
83,5 . 7 inch py 3300mah battery dey ra hai samsung bohat disappointed ,neg
84,"50 % walay nay intel se baat karli hogi , ya phir kisi bahir ki company ko project dediya hoga , kyon k next election mein tu is ka koi face bhi dekhna passand nahi karay ga . ",neg
85,"5th episode kay baad bhi bohot boring hai ye drama . promotions main to ye dawa kiya tha kay ye drama mehnga tareen serial hai lekin wo tamam paisay kahan lagay , ye abhi tak to kaheen bhi dikhayee nehi de raha . ",neg
86,6 dafa dekh li ye bakwas movie ... tumhen aur koi kaam nahi hai ? ,neg
87,68 yrs me ye pehle wise hukmran aaye hn jinhon ne chutti khatam ki is se pehley wale sab foolish thay ? ,neg
88,"70 saal se jis ne ye ' gand ' pehlaya h , safahi may kuch time lgay ga . ",neg
89,900 chohy kha k bili hajj ko challi,neg
90,9th or 10th k exams alag alag hone chaiye . i think hukumt k children nahi parahte hein tabhi unhon ne ye decision liye student per itna bojh mat dalein tu acha he . or pata nahi kiya hoga is mulk ka nai hukumat ati he tu chizen sasti honi chaiye lakin yahan tu barh jati hein . or sabse pehle k exms me jo teacher hote hein wo class me student se paise le kar unko cheating karne dete hein is tarahan jin student ne ach yad kiya hota he unka haq mara jata he wese tu pak me ab bas yehi horaha he . lakin ap khud souchein kiy hamara iman itna kacha he k k ham bik jate hein bachon k age,neg
91, : eek : mjhy kis cheez ki saza hai ?????????? : cry :: cry :: cry : ,neg
92, : hilarious : ham chaat waghera se bhe chun chun k nikal detay hain : rolleyes :: laugh : ,neg
93, : unsure2 : khaa lai warna janaaza nahi hoga pir aapka ..;) ,neg
94, ? kisi k liye zindagi thi ? ? k0i zindagi k liye tha ? ? kisi ki andher0n me guzri ? ? k0i sirf r0shni k liye tha ? ? kisi nay kiye hukam sadir ? ? k0i sirf bandagi k liye tha ? ? kisi say m0habbat hai itni ? ? k0i sirf dushmani k liye tha ? ? kisi say huay l0g sairaab ? ? k0i sirf tishnagi k liye tha ? ? w0 phir dunya me tha masr00f ? ? k0i sirf usi k liye tha ? ? hua kya agar t0rh dala ? ? ye dil bhi t0 sirf usi ke liye tha ? ,neg
95, @ altafbe @ notbasit devil 😣😣😣 karachi bi kismat ka maraa .. ye marta bi nae 😂😂😂,neg
96, @ altafbe itna paisa shaukat khanum peshawar main laga dete tou ye din na dekhna parta 😂,neg
97, @ get _ lost ... ye bekaar theory kahan say khodi hai tum nay ?... her koi dramay dekh sakta hai .. chaahay mard ho ya aorat . ,neg
98," @ guest ... yaqeenan main bohot sabar aur bardasht karoongi . apnay shoher kaa ehtraam karoongi , uss ki baatein bhi manoon gi , uss say bohot pyar karoongi .. agar wo kisi baat per rooth jaayega to ussay zaroor manaoongi . apni taraf say poori koshish karoongi kay ussay jitni khushiyan de sakti hoon , doon . kiran ki tarah bewaqufiyan nahin karoongi , naa hi kisi baat ko bekaar anaa ka masla bana ker jhagray karoon gi . ",neg
99, @ hamidmirgeo wah ... kaash india - pakistan mai sab aise hi ho jaayen . tired of hating ... ,neg
100, @ imrankhanpti salam khan sb @ imrankhanpti reham ko aag lag gai hogi,neg
101, @ imrankhanpti apki hakumat ko chuhun nay nakam kardia hay . ap kia kahein gain ? ,neg
102," @ imrankhanpti sharam karo fasadi khan , koi vision nahi , curropt kpk poor niswar govt tamam sector ma fail  & bary curroption ma involve ha . Sharam karo nalayaq pti",neg
103, @ lalin and @ life beautiful ye ooper wala comment kisi ghatiya inssan nay meri fake id bana ker kiya hai .... iss shakhs kay paas itni bhi aqal nahin hai kay apni koi nayee creative id banaaye ... naqalchi jaali insaan !!! ,neg
104, @ lahorezindabad .... aur tum kiyun itna jealous ho rahi ho budhi aoraton ki tarah jin ko koi poochhta bhi nahin hai . wesay tum mujhay aik budhi aorat hi lagti ho,neg
105, @ lahorezindabad .... main tum jealous budhi aoraton ka sada hua dimagh nahin khaati ... tum jaa ker bhoosa khao ... tujhay main nay apnay bhari haat ka aik chamaat laga diya to cheeekh maaray baghair hi mer jaaegi foran . ,neg
106, @ adminsbara achha kiya jo her comment per lagnay waali bekaar moderation hata di :) ,neg
107, @ anonymous urf shezad .. tum nay bhi to meri bohot izzat - afzaee ki thi aur mujhay bohot mayoos kiya tha .... jis direction main wo discussion jaa raha tha ... ussay stop kerna hi behter tha .... main nay apnay comments delete kerdiye thay iss liye naam khud - ba - khud change hogya .... khair .... phir bhi .... tum mujhay achay insaan lagtay ho .... iss liye jawab day rahi hoon ... main mardon say darti nahin hoon ... lakin zayda ter ko to bohot na pasand kerti hoon . :) ,neg
